itemId,title,author,isAvailable,latePenalty,isbn,genre
1,The Great Adventure,F. Scott Fitzgerald,false,1.25,978-3-16-148410-0,FICTION
2,Advanced AI Techniques,John McCarthy,false,3.00,978-0-12-345678-9,TEXTBOOK
4,Data Science Essentials,Michael Jones,false,1.75,978-1-23-456789-0,NON_FICTION
5,Programming in Python,Sara Thompson,false,4.00,978-0-19-853453-7,TEXTBOOK
7,Quantum Computing Explained,Alexis Jenkins,false,1.50,978-1-47-678912-3,NON_FICTION
9,Digital Marketing Insights,Laura Brooks,true,4.50,978-0-14-312854-0,NON_FICTION
11,Artificial Intelligence in Medicine,Dr. Zaid Malik,false,1.90,978-0-07-147914-2,TEXTBOOK
13,Blockchain Technology,William Kent,false,2.85,978-0-13-478796-1,NON_FICTION
15,Augmented Reality Guide,Alex West,false,1.95,978-0-16-572065-3,NON_FICTION
16,Virtual Reality 101,Julie Lewis,true,3.45,978-0-08-102899-0,NON_FICTION
18,Physics for Beginners,Daniel Grey,true,3.75,978-1-48-752399-4,TEXTBOOK
20,Biology A Study,Jessica Gold,true,4.10,978-0-19-956678-9,TEXTBOOK